flow,packet_count,total_bytes,avg_packet_len,small_packet_count,label
192.168.1.11:33290-192.168.1.12:80,12,3242.0,270.1666666666667,5.0,2
192.168.1.11:33292-192.168.1.10:80,10,4123.0,412.3,0.0,2
192.168.1.11:33292-192.168.1.12:80,17,5222.0,307.1764705882353,5.0,2
192.168.1.11:33294-192.168.1.10:80,6,2537.0,422.8333333333333,0.0,2
192.168.1.11:33294-192.168.1.12:80,15,4368.0,291.2,5.0,2
192.168.1.11:33296-192.168.1.10:80,10,4157.0,415.7,0.0,2
192.168.1.11:33296-192.168.1.12:80,17,4981.0,293.0,6.0,2
192.168.1.11:33298-192.168.1.10:80,9,3810.0,423.3333333333333,0.0,2
192.168.1.11:33298-192.168.1.12:80,15,4258.0,283.8666666666667,6.0,2
192.168.1.11:33299-192.168.1.12:80,4,679.0,169.75,3.0,1
192.168.1.11:33300-192.168.1.10:80,5,2067.0,413.4,0.0,2
192.168.1.11:33300-192.168.1.12:80,17,5447.0,320.4117647058824,5.0,2
192.168.1.11:33301-192.168.1.12:80,4,645.0,161.25,3.0,1
192.168.1.11:33302-192.168.1.10:80,9,3808.0,423.1111111111111,0.0,2
192.168.1.11:33302-192.168.1.12:80,15,4206.0,280.4,6.0,2
192.168.1.11:33303-192.168.1.12:80,4,940.0,235.0,3.0,1
192.168.1.11:33304-192.168.1.10:80,17,5042.0,296.5882352941176,6.0,2
192.168.1.11:33304-192.168.1.12:80,10,2541.0,254.1,5.0,2
192.168.1.11:33305-192.168.1.12:80,4,676.0,169.0,3.0,1
192.168.1.11:33306-192.168.1.10:80,11,4823.0,438.45454545454544,0.0,2
192.168.1.11:33306-192.168.1.12:80,15,4381.0,292.06666666666666,5.0,2
192.168.1.11:33307-192.168.1.12:80,4,549.0,137.25,3.0,1
192.168.1.11:33308-192.168.1.10:80,11,4767.0,433.3636363636364,0.0,2
192.168.1.11:33308-192.168.1.12:80,9,2006.0,222.88888888888889,5.0,2
192.168.1.11:33309-192.168.1.12:80,4,692.0,173.0,3.0,1
192.168.1.11:33310-192.168.1.10:80,10,4129.0,412.9,0.0,2
192.168.1.11:33310-192.168.1.12:80,19,6273.0,330.1578947368421,5.0,2
192.168.1.11:33311-192.168.1.12:80,4,595.0,148.75,3.0,1
192.168.1.11:33312-192.168.1.10:80,7,2938.0,419.7142857142857,0.0,2
192.168.1.11:33312-192.168.1.12:80,18,5534.0,307.44444444444446,5.0,2
192.168.1.11:33313-192.168.1.12:80,4,619.0,154.75,3.0,1
192.168.1.11:33314-192.168.1.10:80,15,3762.0,250.8,7.0,2
192.168.1.11:33314-192.168.1.12:80,16,4967.0,310.4375,5.0,2
192.168.1.11:33315-192.168.1.12:80,4,634.0,158.5,3.0,1
192.168.1.11:33316-192.168.1.10:80,12,4923.0,410.25,0.0,2
192.168.1.11:33316-192.168.1.12:80,18,6152.0,341.77777777777777,5.0,2
192.168.1.11:33318-192.168.1.10:80,7,2924.0,417.7142857142857,0.0,2
