window_id,start_time,end_time,total_packets,total_bytes,avg_packet_size,avg_payload_size,packet_rate,small_packet_ratio,syn_count,ack_count,fin_count,label
14,1698376112.407962,1698376112.907962,2715,550572.0,202.7889502762431,134.3255985267035,5430.0,0.6821362799263352,836,1879,0,1
15,1698376112.907962,1698376113.407962,3194,654074.0,204.78209142141515,136.48778960551033,6388.0,0.6759549154664997,916,2278,0,1
16,1698376113.407962,1698376113.907962,2871,634495.0,221.00139324277256,152.54649947753396,5742.0,0.6398467432950191,881,1990,0,1
17,1698376113.907962,1698376114.407962,2903,675400.0,232.6558732345849,164.1756803306924,5806.0,0.6166035136066138,900,2003,0,1
18,1698376114.407962,1698376114.907962,2648,614066.0,231.89803625377644,163.42673716012084,5296.0,0.6178247734138973,818,1830,0,1
19,1698376114.907962,1698376115.407962,2067,417405.0,201.93759071117563,133.76052249637155,4134.0,0.6816642477019835,561,1506,0,1
20,1698376115.407962,1698376115.907962,3059,475908.0,155.57633213468455,87.76005230467473,6118.0,0.7914351095129127,612,2447,0,1
21,1698376115.907962,1698376116.407962,3428,297436.0,86.76662777129522,20.39323220536756,6856.0,0.9530338389731622,160,3268,0,1
22,1698376116.407962,1698376116.907962,2322,219944.0,94.72179155900086,28.094745908699398,4644.0,0.9336778639104221,152,2170,0,1
23,1698376116.907962,1698376117.407962,1501,161710.0,107.7348434377082,38.58494337108594,3002.0,0.9067288474350433,150,1351,0,1
24,1698376117.407962,1698376117.907962,1693,165879.0,97.97932663910218,28.88659184878913,3386.0,0.9332545776727702,110,1583,0,1
25,1698376117.907962,1698376118.407962,2214,244522.0,110.44354110207769,42.420054200542005,4428.0,0.9001806684733514,221,1993,0,1
26,1698376118.407962,1698376118.907962,1809,145644.0,80.51077943615257,13.531232725262576,3618.0,0.9679380873410725,46,1763,0,1
27,1698376118.907962,1698376119.407962,1650,157480.0,95.44242424242424,27.330909090909092,3300.0,0.9357575757575758,116,1534,0,1
28,1698376119.407962,1698376119.907962,1112,121046.0,108.85431654676259,42.19964028776978,2224.0,0.9046762589928058,91,1021,0,1
29,1698376119.907962,1698376120.407962,1864,173145.0,92.88894849785407,26.384656652360515,3728.0,0.9399141630901288,113,1751,21,1
30,1698376120.407962,1698376120.907962,5132,372208.0,72.52689010132502,5.293842556508184,10264.0,0.9875292283710054,65,5065,3237,1
31,1698376120.907962,1698376121.407962,4660,361082.0,77.48540772532189,11.039055793991416,9320.0,0.9736051502145923,113,4545,4021,1
32,1698376121.407962,1698376121.907962,2138,206034.0,96.36763330215155,29.559401309635174,4276.0,0.930776426566885,141,1997,1196,1
33,1698376121.907962,1698376122.407962,1295,225363.0,174.02548262548262,105.8942084942085,2590.0,0.7451737451737451,330,963,0,1
34,1698376122.407962,1698376122.907962,3078,428115.0,139.088693957115,71.76965562053282,6156.0,0.8323586744639376,503,2575,0,1
35,1698376122.907962,1698376123.407962,3111,248717.0,79.94760527161684,13.675024108003857,6222.0,0.9678559948569592,67,3044,2,1
36,1698376123.407962,1698376123.907962,2193,155097.0,70.72366621067032,4.015959872321021,4386.0,0.989968080255358,10,2183,0,1
37,1698376123.907962,1698376124.407962,2773,248245.0,89.52217814641183,22.079697078975837,5546.0,0.9466282005048684,137,2636,0,1
38,1698376124.407962,1698376124.907962,1924,314985.0,163.71361746361745,95.82172557172557,3848.0,0.7728690228690228,434,1490,0,1
39,1698376124.907962,1698376125.407962,2888,267736.0,92.70637119113573,26.21606648199446,5776.0,0.9397506925207756,168,2720,1163,1
40,1698376125.407962,1698376125.907962,2614,385201.0,147.36074980872226,79.58263198163733,5228.0,0.8152257077276205,479,2135,0,1
41,1698376125.907962,1698376126.407962,1442,249059.0,172.71775312066575,104.74549237170596,2884.0,0.7524271844660194,351,1091,0,1
42,1698376126.407962,1698376126.907962,1692,286175.0,169.1341607565012,101.20271867612293,3384.0,0.7653664302600472,401,1291,0,1
43,1698376126.907962,1698376127.407962,1677,292103.0,174.18187239117472,106.19976147883125,3354.0,0.7513416815742398,411,1266,0,1
44,1698376127.407962,1698376127.907962,2028,341230.0,168.2593688362919,100.35009861932939,4056.0,0.764792899408284,478,1550,0,1
45,1698376127.907962,1698376128.407962,2087,384863.0,184.40967896502156,116.24772400574987,4174.0,0.7273598466698611,561,1526,0,1
46,1698376128.407962,1698376128.907962,2201,409957.0,186.25942753293958,117.98591549295774,4402.0,0.7255792821444798,609,1592,0,1
47,1698376128.907962,1698376129.407962,1102,140853.0,127.8157894736842,58.38203266787659,2204.0,0.8593466424682396,136,966,0,1
48,1698376129.407962,1698376129.907962,769,96963.0,126.08972691807543,56.146944083224966,1538.0,0.8647594278283485,97,672,0,1
49,1698376129.907962,1698376130.407962,681,118090.0,173.40675477239353,105.38619676945667,1362.0,0.750367107195301,169,512,0,1
